Molecular Weight,AlogP,Smiles,IC50_nM,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
420.82,4.7,C[C@H]1c2ncn(-c3ccccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,14996.9,4.82,11.46,0.23,0.12,9.46
439.8,4.06,C[C@@H]1Cc2c(nnn2-c2cc(F)ccn2)CN1C(=O)c1cccc(C(F)(F)F)c1Cl,4977.4,5.3,12.06,0.24,1.24,8.3
440.79,3.63,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,1.549,8.81,19.99,0.4,5.18,11.47
422.8,3.49,C[C@@H]1c2nnn(-c3ncccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,2.042,8.69,20.55,0.41,5.2,11.32
422.8,3.49,C[C@@H]1c2nnn(-c3cnccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,9.12,8.04,19.02,0.38,4.55,10.47
420.82,4.53,C[C@H]1Cc2c(nnn2-c2ccccc2)CN1C(=O)c1cccc(C(F)(F)F)c1Cl,10.0,8.0,19.01,0.38,3.47,15.68
419.38,3.92,Cc1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1cccc(C(F)(F)F)c1F)C2,10.0,8.0,19.08,0.36,4.08,10.7
454.82,3.98,CC[C@H]1Cn2c(nnc2-c2ncc(F)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,125.9,6.9,15.17,0.3,2.92,8.98
365.41,3.21,Cc1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1cccc(C)c1F)C2,1870.7,5.73,15.68,0.29,2.52,7.66
385.83,3.55,Cc1nc2c(c(-c3ccn[nH]3)n1)C[C@H](C)N(C(=O)c1ccc(Cl)cc1F)C2,15.9,7.8,20.21,0.39,4.25,10.43
438.86,5.04,O=C(c1cccc(C(F)(F)F)c1Cl)N1[C@H]2CC[C@@H]1c1nnc(-c3ccsc3)n1C2,712.9,6.15,14.01,0.29,1.11,12.05
424.81,3.81,C[C@@H]1Cc2c(nnn2-c2ccn[nH]2)[C@H](C)N1C(=O)c1cccc(C(F)(F)F)c1Cl,5.6,8.25,19.42,0.39,4.44,10.35
424.33,2.94,CC1Cc2c(nnn2-c2ncc(F)cn2)CN1C(=O)c1cccc(C(F)(F)F)c1F,35.2,7.45,17.57,0.34,4.51,9.71
444.32,4.48,CCOC(=O)C1c2ncn(-c3ccccc3)c2CCN1C(=O)c1cccc(Cl)c1Cl,1892.3,5.72,12.88,0.26,1.24,8.88
406.75,3.36,O=C(c1cccc(C(F)(F)F)c1Cl)N1C=Cc2c(nnn2-c2cnccn2)C1,907.8,6.04,14.85,0.29,2.68,7.87
407.78,3.74,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(-c3ncccn3)n[nH]c2C1,548.3,6.26,15.35,0.31,2.52,8.37
437.82,5.1,Cn1nc(-c2ccc(F)cc2)c2c1CN(C(=O)c1cccc(C(F)(F)F)c1Cl)CC2,1584.9,5.8,13.25,0.26,0.7,15.21
420.82,4.35,Cn1nc2c(c1-c1cccnc1)CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)C2,794.3,6.1,14.5,0.29,1.75,11.96
420.82,4.35,Cn1nc(-c2cccnc2)c2c1CN(C(=O)c1cccc(C(F)(F)F)c1Cl)CC2,794.3,6.1,14.5,0.29,1.75,11.96
404.27,4.73,Cn1nc(-c2ccc(F)cc2)c2c1CN(C(=O)c1cccc(Cl)c1Cl)CC2,3162.3,5.5,13.6,0.28,0.77,14.42
387.27,3.99,Cn1nc(-c2cccnc2)c2c1CN(C(=O)c1cccc(Cl)c1Cl)CC2,3981.1,5.4,13.94,0.28,1.41,10.58
439.8,4.06,CC1Cc2c(nnn2-c2ncccc2F)CN1C(=O)c1cccc(C(F)(F)F)c1Cl,12.0,7.92,18.01,0.36,3.86,12.39
436.83,3.8,Cc1ccnc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)[C@@H]3C)n1,6.6,8.18,18.73,0.37,4.38,10.65
437.85,4.08,CC1Cc2c(-c3ccnn3C)nn(C)c2CN1C(=O)c1cccc(C(F)(F)F)c1Cl,12.6,7.9,18.04,0.36,3.82,14.12
435.84,4.4,Cc1cccnc1-n1nnc2c1CCN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@@H]2C,1621.8,5.79,13.28,0.26,1.39,9.06
450.85,4.05,CCc1ccnc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)[C@@H]3C)n1,2.8,8.55,18.97,0.38,4.5,11.14
435.84,4.4,Cc1ccnc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)C3C)c1,12.7,7.9,18.12,0.36,3.5,12.36
402.29,4.04,Cc1ccc(-n2nnc3c2CCN(C(=O)c2cccc(Cl)c2Cl)C3C)nc1,2162.7,5.67,14.08,0.29,1.63,8.86
466.83,4.3,O=C(c1cccc(C(F)(F)F)c1Cl)N1[C@@H]2CCC[C@H]1c1nnc(-c3ncc(F)cn3)n1C2,4.4,8.36,17.9,0.36,4.06,10.88
410.79,3.38,C[C@H]1Cn2c(nnc2-c2cn[nH]c2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,3147.7,5.5,13.39,0.27,2.12,6.9
421.81,4.3,CC1c2ncnc(-c3ccn[nH]3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,16.0,7.8,18.48,0.37,3.5,10.43
465.84,4.9,O=C(c1cccc(C(F)(F)F)c1Cl)N1[C@@H]2CCC[C@H]1c1nnc(-c3ccc(F)cn3)n1C2,36.6,7.44,15.96,0.32,2.54,11.64
385.83,3.55,Cc1nc2c(c(-c3ccn[nH]3)n1)C[C@@H](C)N(C(=O)c1ccc(Cl)cc1F)C2,8770.0,5.06,13.11,0.26,1.51,6.76
453.83,4.59,CC[C@H]1Cn2c(nnc2-c2ccc(F)cn2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,158.5,6.8,14.98,0.3,2.21,10.64
365.35,1.69,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1ccccc1[N+](=O)[O-],7277.8,5.14,14.06,0.26,3.45,4.28
391.33,3.22,O=C(c1cccc(C(F)(F)F)c1F)N1CCc2c(ncnc2-c2ccn[nH]2)C1,807.2,6.09,15.57,0.3,2.87,8.15
452.84,5.23,CC1Cc2c(nnn2-c2ccc(F)cc2)C(C)N1C(=O)c1cccc(C(F)(F)F)c1Cl,15.0,7.82,17.28,0.34,2.59,15.33
406.8,4.26,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2[nH]nnc2C1c1ccccc1,501.2,6.3,15.49,0.31,2.04,10.18
423.8,5.09,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(-c3ccc(F)cc3)n[nH]c2C1,1258.9,5.9,13.92,0.28,0.81,12.04
440.79,3.63,C[C@@H]1c2nnn(-c3ncc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,18.8,7.73,17.53,0.35,4.1,10.06
